logged_at,ticket,symbol,requested_price,filled_price,requested_time,filled_time,slippage,delay_seconds,rejected
2026-07-17T00:45:53.316622+00:00,9604676651,XAUUSD,3983.61,3983.39,2026-07-17T00:45:53.191024+00:00,2026-07-17T00:45:53.313372+00:00,-0.22,0.122348,False
2026-07-17T01:07:06.861239+00:00,9604882781,XAUUSD,3990.63,3990.48,2026-07-17T01:07:06.775085+00:00,2026-07-17T01:07:06.860455+00:00,-0.15,0.08537,False
2026-07-17T01:27:55.495250+00:00,9605090036,XAUUSD,3988.01,3988.31,2026-07-17T01:27:55.321497+00:00,2026-07-17T01:27:55.494647+00:00,0.3,0.17315,False
2026-07-17T01:54:11.704426+00:00,9605362657,XAUUSD,3981.88,3981.88,2026-07-17T01:54:11.536120+00:00,2026-07-17T01:54:11.702348+00:00,0.0,0.166228,False
2026-07-17T02:09:19.029046+00:00,9605506090,XAUUSD,3982.61,3982.61,2026-07-17T02:09:18.943719+00:00,2026-07-17T02:09:19.026724+00:00,0.0,0.083005,False
2026-07-17T03:03:44.631351+00:00,9606010834,XAUUSD,3986.41,3986.43,2026-07-17T03:03:44.387581+00:00,2026-07-17T03:03:44.628508+00:00,0.02,0.240927,False
2026-07-17T03:28:58.317474+00:00,9606369529,XAUUSD,3998.75,3998.65,2026-07-17T03:28:58.231861+00:00,2026-07-17T03:28:58.316067+00:00,-0.1,0.084206,False
2026-07-17T03:45:08.414868+00:00,9606525387,XAUUSD,3997.88,3997.8,2026-07-17T03:45:08.311097+00:00,2026-07-17T03:45:08.414048+00:00,-0.08,0.102951,False
2026-07-17T05:16:38.800226+00:00,9607422523,XAUUSD,3976.69,3976.69,2026-07-17T05:16:38.723375+00:00,2026-07-17T05:16:38.798335+00:00,0.0,0.07496,False
2026-07-17T05:16:39.436513+00:00,9607422610,XAUUSD,3976.65,3976.65,2026-07-17T05:16:39.317058+00:00,2026-07-17T05:16:39.434207+00:00,0.0,0.117149,False
2026-07-17T05:40:50.623955+00:00,9607735910,XAUUSD,3985.33,3985.39,2026-07-17T05:40:50.541754+00:00,2026-07-17T05:40:50.621893+00:00,0.06,0.080139,False
2026-07-17T07:57:37.494709+00:00,9609735260,XAUUSD,3992.95,3993.04,2026-07-17T07:57:37.407391+00:00,2026-07-17T07:57:37.493998+00:00,0.09,0.086607,False
2026-07-17T07:57:38.602617+00:00,9609735520,XAUUSD,3993.13,3993.32,2026-07-17T07:57:38.138667+00:00,2026-07-17T07:57:38.600564+00:00,0.19,0.461897,False
2026-07-17T10:00:41.289840+00:00,9611588793,XAUUSD,3997.65,3997.65,2026-07-17T10:00:40.985018+00:00,2026-07-17T10:00:41.287486+00:00,0.0,0.302468,False
2026-07-17T12:41:45.089709+00:00,9614209283,XAUUSD,3976.67,3976.89,2026-07-17T12:41:44.968216+00:00,2026-07-17T12:41:45.087123+00:00,0.22,0.118907,False
2026-07-17T12:42:46.435289+00:00,9614243624,XAUUSD,3973.44,3973.56,2026-07-17T12:42:46.317774+00:00,2026-07-17T12:42:46.434363+00:00,0.12,0.116589,False
2026-07-17T13:38:09.366621+00:00,9615974331,XAUUSD,3983.66,3985.76,2026-07-17T13:38:05.436625+00:00,2026-07-17T13:38:09.364200+00:00,2.1,3.927575,False
2026-07-17T13:59:22.535595+00:00,9616648465,XAUUSD,3995.03,3994.97,2026-07-17T13:59:21.937614+00:00,2026-07-17T13:59:22.533682+00:00,-0.06,0.596068,False
2026-07-17T15:20:59.841245+00:00,9618636913,XAUUSD,4009.27,4009.32,2026-07-17T15:20:59.453487+00:00,2026-07-17T15:20:59.838692+00:00,0.05,0.385205,False
2026-07-17T15:53:19.997228+00:00,9619359176,XAUUSD,4020.35,4020.38,2026-07-17T15:53:19.758624+00:00,2026-07-17T15:53:19.996192+00:00,0.03,0.237568,False
2026-07-17T16:03:25.520890+00:00,9619595683,XAUUSD,4013.67,4013.52,2026-07-17T16:03:25.402059+00:00,2026-07-17T16:03:25.519276+00:00,-0.15,0.117217,False
2026-07-17T16:03:26.283466+00:00,9619595991,XAUUSD,4013.52,4013.52,2026-07-17T16:03:26.009940+00:00,2026-07-17T16:03:26.281696+00:00,0.0,0.271756,False
2026-07-17T16:25:37.815621+00:00,9620010084,XAUUSD,4019.8,4019.8,2026-07-17T16:25:37.663750+00:00,2026-07-17T16:25:37.814700+00:00,0.0,0.15095,False
2026-07-17T17:17:05.965288+00:00,9620825474,XAUUSD,4015.14,4015.19,2026-07-17T17:17:05.856423+00:00,2026-07-17T17:17:05.964035+00:00,0.05,0.107612,False
2026-07-20T02:16:14.484156+00:00,9625778101,XAUUSD,4004.87,4004.81,2026-07-20T02:16:14.377170+00:00,2026-07-20T02:16:14.482737+00:00,-0.06,0.105567,False
2026-07-20T02:19:18.606380+00:00,9625802065,XAUUSD,4004.5,4004.51,2026-07-20T02:19:18.529490+00:00,2026-07-20T02:19:18.605573+00:00,0.01,0.076083,False
2026-07-20T02:42:35.994637+00:00,9626062985,XAUUSD,4014.69,4014.69,2026-07-20T02:42:35.913342+00:00,2026-07-20T02:42:35.992054+00:00,0.0,0.078712,False
