logged_at,strategy,signal,atr,sl_dist,tp_dist_requested,tp_dist_capped,clip_pct,cap_multiplier_atr,cap_multiplier_sl
2026-08-21T02:26:07.544618+00:00,MICRO,BUY,5.40222,30.0,66.86,60.0,10.26,2.5,2.0
2026-08-21T02:27:08.267986+00:00,MICRO,BUY,5.40889,30.0,68.66,60.0,12.61,2.5,2.0
2026-08-21T02:41:10.927073+00:00,MICRO,BUY,4.86,29.22,61.69,58.44,5.27,2.5,2.0
2026-08-21T02:42:11.691775+00:00,MICRO,BUY,5.01333,30.0,63.64,60.0,5.72,2.5,2.0
2026-08-21T02:43:12.287731+00:00,MICRO,BUY,5.01333,30.0,63.64,60.0,5.72,2.5,2.0
2026-08-21T02:44:13.079705+00:00,MICRO,BUY,5.18,30.0,65.75,60.0,8.75,2.5,2.0
2026-08-21T02:45:13.697018+00:00,MICRO,BUY,4.46444,26.84,56.67,53.68,5.28,2.5,2.0
2026-08-21T02:52:18.085445+00:00,SMC,BUY,5.69071,30.0,124.23,90.0,27.55,5.5,3.0
2026-08-21T02:59:22.087451+00:00,MICRO,SELL,5.55,30.0,70.45,60.0,14.83,2.5,2.0
2026-08-21T03:11:28.309164+00:00,MICRO,BUY,5.68778,30.0,72.2,60.0,16.9,2.5,2.0
2026-08-21T03:32:37.568044+00:00,MICRO,BUY,5.16778,30.0,65.6,60.0,8.54,2.5,2.0
2026-08-21T03:34:38.674432+00:00,MICRO,BUY,5.18556,30.0,65.82,60.0,8.84,2.5,2.0
2026-08-21T03:41:42.400570+00:00,MICRO,SELL,4.35778,26.2,55.31,52.4,5.26,2.5,2.0
2026-08-21T03:48:44.700921+00:00,MICRO,BUY,4.37,26.27,55.47,52.54,5.28,2.5,2.0
2026-08-21T03:55:48.566509+00:00,MICRO,BUY,3.77444,22.69,47.91,45.38,5.28,2.5,2.0
2026-08-21T03:58:50.050788+00:00,MICRO,BUY,3.97222,23.88,50.42,47.76,5.28,2.5,2.0
2026-08-21T03:59:50.507851+00:00,MICRO,BUY,4.05333,24.37,51.45,48.74,5.27,2.5,2.0
2026-08-21T04:00:51.026454+00:00,MICRO,BUY,3.90778,23.49,49.6,46.98,5.28,2.5,2.0
2026-08-21T04:01:51.577347+00:00,MICRO,BUY,4.00444,24.08,50.83,48.16,5.25,2.5,2.0
2026-08-21T04:02:52.099231+00:00,MICRO,BUY,4.15222,24.96,52.7,49.92,5.28,2.5,2.0
2026-08-21T04:04:53.086030+00:00,MICRO,BUY,4.18667,25.17,53.14,50.34,5.27,2.5,2.0
2026-08-21T04:21:02.390413+00:00,MICRO,BUY,3.47,20.86,44.05,41.72,5.29,2.5,2.0
2026-08-21T04:22:02.893242+00:00,SMC,BUY,4.06,29.5,88.63,88.5,0.15,5.5,3.0
2026-08-21T04:22:02.903593+00:00,MICRO,BUY,3.77111,22.67,47.87,45.34,5.29,2.5,2.0
2026-08-21T04:26:05.060662+00:00,SMC,BUY,4.01643,29.19,87.68,87.57,0.13,5.5,3.0
2026-08-21T04:27:05.575378+00:00,SMC,BUY,4.095,29.76,89.4,89.28,0.13,5.5,3.0
2026-08-21T04:28:06.082108+00:00,SMC,BUY,4.17929,30.0,91.24,90.0,1.36,5.5,3.0
2026-08-21T04:29:06.619093+00:00,SMC,BUY,4.20929,30.0,91.89,90.0,2.06,5.5,3.0
2026-08-21T04:30:07.105536+00:00,SMC,BUY,4.10786,29.85,89.68,89.55,0.14,5.5,3.0
2026-08-21T04:31:07.614561+00:00,SMC,BUY,4.22143,30.0,92.16,90.0,2.34,5.5,3.0
2026-08-21T04:32:08.121894+00:00,SMC,BUY,4.22143,30.0,92.16,90.0,2.34,5.5,3.0
2026-08-21T04:33:08.634894+00:00,SMC,BUY,4.39071,30.0,95.85,90.0,6.1,5.5,3.0
2026-08-21T04:34:09.163799+00:00,SMC,BUY,4.39643,30.0,95.98,90.0,6.23,5.5,3.0
2026-08-21T04:35:09.665867+00:00,SMC,BUY,4.04071,29.36,88.21,88.08,0.15,5.5,3.0
2026-08-21T04:36:10.164007+00:00,SMC,BUY,4.12,29.94,89.94,89.82,0.13,5.5,3.0
2026-08-21T04:46:15.189083+00:00,MICRO,SELL,3.78222,22.74,48.01,45.48,5.27,2.5,2.0
2026-08-21T04:48:16.178652+00:00,MICRO,SELL,3.79556,22.82,48.18,45.64,5.27,2.5,2.0
2026-08-21T05:01:23.223768+00:00,MICRO,SELL,3.28,19.72,41.63,39.44,5.26,2.5,2.0
2026-08-21T05:53:23.144488+00:00,SMC,BUY,4.59286,30.0,100.26,90.0,10.23,5.5,3.0
2026-08-21T05:56:25.725447+00:00,MICRO,BUY,5.81111,30.0,73.76,60.0,18.66,2.5,2.0
2026-08-21T10:00:25.765072+00:00,SCALP,BUY,5.33571,30.0,107.87,75.0,30.47,3.0,2.5
2026-08-21T12:18:43.229683+00:00,MICRO,SELL,6.08333,30.0,77.22,60.0,22.3,2.5,2.0
2026-08-21T12:19:43.760245+00:00,MICRO,SELL,6.18444,30.0,78.5,60.0,23.57,2.5,2.0
2026-08-21T12:22:45.340477+00:00,MICRO,SELL,5.91444,30.0,75.07,60.0,20.07,2.5,2.0
2026-08-21T12:23:45.863010+00:00,MICRO,SELL,5.91444,30.0,75.07,60.0,20.07,2.5,2.0
2026-08-21T12:35:49.583740+00:00,MICRO,SELL,6.44,30.0,81.74,60.0,26.6,2.5,2.0
2026-08-21T12:36:50.082144+00:00,MICRO,SELL,6.65,30.0,84.41,60.0,28.92,2.5,2.0
2026-08-21T12:37:50.626990+00:00,MICRO,SELL,6.67667,30.0,84.75,60.0,29.2,2.5,2.0
2026-08-21T12:38:51.126173+00:00,MICRO,SELL,6.69333,30.0,84.96,60.0,29.38,2.5,2.0
2026-08-21T12:39:51.705349+00:00,MICRO,SELL,7.12778,30.0,90.47,60.0,33.68,2.5,2.0
2026-08-21T12:45:55.096103+00:00,MICRO,BUY,7.78333,30.0,98.8,60.0,39.27,2.5,2.0
2026-08-21T12:46:55.580003+00:00,MICRO,BUY,7.91444,30.0,100.46,60.0,40.27,2.5,2.0
2026-08-21T12:47:56.164063+00:00,MICRO,BUY,8.00444,30.0,101.6,60.0,40.94,2.5,2.0
2026-08-21T12:48:56.722027+00:00,MICRO,BUY,8.14111,30.0,103.34,60.0,41.94,2.5,2.0
2026-08-21T12:49:57.241608+00:00,MICRO,BUY,8.14111,30.0,103.34,60.0,41.94,2.5,2.0
2026-08-21T13:19:05.276744+00:00,MICRO,SELL,7.84778,30.0,99.61,60.0,39.77,2.5,2.0
2026-08-21T13:53:17.430776+00:00,MICRO,SELL,9.23667,30.0,117.24,60.0,48.82,2.5,2.0
2026-08-21T13:54:17.980802+00:00,MICRO,SELL,9.61111,30.0,122.0,60.0,50.82,2.5,2.0
2026-08-21T14:03:19.230172+00:00,MICRO,BUY,9.62222,30.0,122.14,60.0,50.88,2.5,2.0
2026-08-21T14:04:19.690828+00:00,MICRO,BUY,9.70444,30.0,123.18,60.0,51.29,2.5,2.0
2026-08-21T14:05:20.232671+00:00,MICRO,BUY,9.02556,30.0,114.56,60.0,47.63,2.5,2.0
2026-08-21T14:20:25.477477+00:00,MICRO,BUY,7.08889,30.0,89.98,60.0,33.32,2.5,2.0
2026-08-21T14:22:26.480006+00:00,MICRO,BUY,7.76889,30.0,98.61,60.0,39.15,2.5,2.0
2026-08-21T14:23:27.013328+00:00,MICRO,BUY,7.77778,30.0,98.72,60.0,39.22,2.5,2.0
2026-08-21T14:24:27.572199+00:00,MICRO,BUY,7.83778,30.0,99.49,60.0,39.69,2.5,2.0
2026-08-21T15:07:42.069496+00:00,MICRO,BUY,8.79,30.0,111.57,60.0,46.22,2.5,2.0
2026-08-21T15:08:42.631512+00:00,MICRO,BUY,8.88111,30.0,112.73,60.0,46.78,2.5,2.0
2026-08-21T15:23:50.785083+00:00,MICRO,BUY,7.01111,30.0,88.99,60.0,32.58,2.5,2.0
2026-08-21T15:24:51.324196+00:00,MICRO,BUY,7.19556,30.0,91.33,60.0,34.3,2.5,2.0
2026-08-21T16:40:13.809953+00:00,MICRO,BUY,5.47667,30.0,69.52,60.0,13.69,2.5,2.0
2026-08-21T16:47:36.566984+00:00,MICRO,BUY,5.24222,30.0,66.54,60.0,9.83,2.5,2.0
2026-08-21T16:48:40.530974+00:00,MICRO,BUY,5.38556,30.0,68.36,60.0,12.23,2.5,2.0
2026-08-21T16:49:41.019539+00:00,MICRO,BUY,5.40889,30.0,68.66,60.0,12.61,2.5,2.0
2026-08-21T17:09:14.404373+00:00,MICRO,BUY,4.45444,26.81,56.78,53.62,5.57,2.5,2.0
2026-08-21T17:23:19.915554+00:00,MICRO,SELL,5.11333,30.0,64.9,60.0,7.55,2.5,2.0
2026-08-21T17:24:20.464410+00:00,MICRO,SELL,5.43556,30.0,68.99,60.0,13.03,2.5,2.0
2026-08-21T17:25:20.992922+00:00,SCALP,BUY,5.29429,30.0,107.03,75.0,29.93,3.0,2.5
2026-08-24T01:23:36.991374+00:00,MICRO,SELL,9.05444,30.0,112.06,60.0,46.46,2.5,2.0
2026-08-24T01:24:38.126454+00:00,MICRO,SELL,9.32778,30.0,115.45,60.0,48.03,2.5,2.0
2026-08-24T01:30:43.138962+00:00,MICRO,SELL,8.46667,30.0,104.79,60.0,42.74,2.5,2.0
2026-08-24T01:31:45.589876+00:00,MICRO,SELL,8.76667,30.0,108.5,60.0,44.7,2.5,2.0
2026-08-24T01:40:59.562860+00:00,MICRO,SELL,8.83889,30.0,109.39,60.0,45.15,2.5,2.0
2026-08-24T01:51:02.826330+00:00,MICRO,BUY,7.41222,30.0,91.74,60.0,34.6,2.5,2.0
2026-08-24T01:52:03.837719+00:00,MICRO,BUY,7.89556,30.0,97.72,60.0,38.6,2.5,2.0
2026-08-24T01:53:04.614134+00:00,MICRO,BUY,8.09333,30.0,100.17,60.0,40.1,2.5,2.0
2026-08-24T01:54:05.396846+00:00,MICRO,BUY,8.09333,30.0,100.17,60.0,40.1,2.5,2.0
2026-08-24T01:57:08.079630+00:00,MICRO,BUY,8.50111,30.0,105.21,60.0,42.97,2.5,2.0
2026-08-24T01:58:08.576549+00:00,MICRO,BUY,8.56222,30.0,105.97,60.0,43.38,2.5,2.0
2026-08-24T01:59:09.074363+00:00,MICRO,BUY,8.65222,30.0,107.08,60.0,43.97,2.5,2.0
2026-08-24T02:49:35.555507+00:00,MICRO,SELL,7.87222,30.0,99.92,60.0,39.95,2.5,2.0
2026-08-24T03:08:46.739331+00:00,MICRO,SELL,7.83333,30.0,99.43,60.0,39.66,2.5,2.0
2026-08-24T03:42:04.377361+00:00,MICRO,SELL,5.24889,30.0,66.63,60.0,9.95,2.5,2.0
2026-08-24T03:44:05.436707+00:00,MICRO,SELL,5.40667,30.0,68.63,60.0,12.57,2.5,2.0
2026-08-24T04:01:14.286034+00:00,MICRO,SELL,4.67333,28.1,59.32,56.2,5.26,2.5,2.0
2026-08-24T04:06:17.389661+00:00,MICRO,SELL,4.34778,26.14,55.19,52.28,5.27,2.5,2.0
2026-08-24T05:00:42.299470+00:00,MICRO,BUY,3.91667,23.55,49.71,47.1,5.25,2.5,2.0
2026-08-24T05:02:43.474549+00:00,MICRO,BUY,3.92778,23.61,49.86,47.22,5.29,2.5,2.0
2026-08-24T05:08:46.691244+00:00,MICRO,BUY,4.04222,24.3,51.31,48.6,5.28,2.5,2.0
2026-08-24T05:14:50.039676+00:00,MICRO,BUY,4.07,24.47,51.66,48.94,5.27,2.5,2.0
2026-08-24T05:17:50.575782+00:00,MICRO,BUY,3.75333,22.57,47.64,45.14,5.25,2.5,2.0
2026-08-24T05:21:51.664837+00:00,MICRO,SELL,3.87889,23.32,49.24,46.64,5.28,2.5,2.0
2026-08-24T05:22:52.152972+00:00,MICRO,SELL,4.00111,24.06,50.79,48.12,5.26,2.5,2.0
2026-08-24T05:53:08.476459+00:00,MICRO,BUY,6.49111,30.0,82.39,60.0,27.18,2.5,2.0
2026-08-24T06:03:11.006543+00:00,MICRO,BUY,6.67778,30.0,84.76,60.0,29.21,2.5,2.0
2026-08-24T06:04:11.631227+00:00,MICRO,BUY,6.67778,30.0,84.76,60.0,29.21,2.5,2.0
2026-08-24T06:07:13.186611+00:00,MICRO,BUY,6.81889,30.0,86.55,60.0,30.68,2.5,2.0
2026-08-24T06:15:17.265594+00:00,MICRO,BUY,6.04889,30.0,76.78,60.0,21.85,2.5,2.0
2026-08-24T06:16:17.765770+00:00,MICRO,BUY,6.40667,30.0,81.32,60.0,26.22,2.5,2.0
2026-08-24T06:19:19.435102+00:00,MICRO,BUY,6.74333,30.0,85.59,60.0,29.9,2.5,2.0
2026-08-24T06:23:21.623497+00:00,MICRO,SELL,7.05111,30.0,89.5,60.0,32.96,2.5,2.0
2026-08-24T06:27:23.789044+00:00,MICRO,SELL,7.40778,30.0,94.03,60.0,36.19,2.5,2.0
2026-08-24T06:28:24.279789+00:00,MICRO,SELL,7.55333,30.0,95.88,60.0,37.42,2.5,2.0
2026-08-24T06:29:24.769012+00:00,MICRO,SELL,7.55333,30.0,95.88,60.0,37.42,2.5,2.0
2026-08-24T07:53:56.460805+00:00,MICRO,BUY,6.25889,30.0,79.45,60.0,24.48,2.5,2.0
2026-08-24T07:54:56.963345+00:00,MICRO,BUY,6.27556,30.0,79.66,60.0,24.68,2.5,2.0
2026-08-24T07:55:57.465682+00:00,MICRO,BUY,6.02778,30.0,76.51,60.0,21.58,2.5,2.0
2026-08-24T07:56:58.013480+00:00,MICRO,BUY,6.30778,30.0,80.07,60.0,25.07,2.5,2.0
2026-08-24T07:57:58.464638+00:00,MICRO,BUY,6.36556,30.0,80.8,60.0,25.74,2.5,2.0
2026-08-24T07:59:59.028160+00:00,MICRO,BUY,6.62889,30.0,84.14,60.0,28.69,2.5,2.0
2026-08-24T10:04:01.708416+00:00,SCALP,BUY,4.66286,30.0,94.27,75.0,20.44,3.0,2.5
2026-08-24T10:04:02.721637+00:00,MICRO,BUY,4.14556,24.95,52.84,49.9,5.56,2.5,2.0
2026-08-24T10:22:12.144202+00:00,MICRO,SELL,3.88667,23.39,49.54,46.78,5.57,2.5,2.0
2026-08-24T10:23:12.657872+00:00,MICRO,SELL,4.0,24.08,50.99,48.16,5.55,2.5,2.0
2026-08-24T10:38:20.938824+00:00,MICRO,BUY,3.86222,23.25,49.23,46.5,5.55,2.5,2.0
2026-08-24T10:57:29.865242+00:00,MICRO,SELL,3.87111,23.3,49.34,46.6,5.55,2.5,2.0
2026-08-24T11:17:37.508456+00:00,MICRO,BUY,4.96,29.82,62.96,59.64,5.27,2.5,2.0
2026-08-24T11:42:51.716395+00:00,SMC,BUY,6.75857,30.0,157.92,90.0,43.01,5.5,3.0
2026-08-24T11:49:56.445119+00:00,MICRO,SELL,9.2,30.0,116.78,60.0,48.62,2.5,2.0
2026-08-24T12:11:06.060169+00:00,MICRO,BUY,9.77889,30.0,124.13,60.0,51.66,2.5,2.0
2026-08-24T12:12:06.575594+00:00,MICRO,BUY,10.03333,30.0,127.35,60.0,52.89,2.5,2.0
2026-08-24T12:14:07.717437+00:00,MICRO,BUY,10.12556,30.0,128.53,60.0,53.32,2.5,2.0
2026-08-24T13:21:35.442655+00:00,MICRO,SELL,7.02889,30.0,89.22,60.0,32.75,2.5,2.0
2026-08-24T13:23:36.424141+00:00,MICRO,SELL,7.16333,30.0,90.93,60.0,34.02,2.5,2.0
2026-08-24T13:39:41.914419+00:00,MICRO,SELL,7.69667,30.0,97.7,60.0,38.59,2.5,2.0
2026-08-24T13:40:42.493450+00:00,SCALP,BUY,7.92429,30.0,160.2,75.0,53.18,3.0,2.5
2026-08-24T14:21:00.659029+00:00,MICRO,BUY,12.00111,30.0,148.53,60.0,59.6,2.5,2.0
2026-08-24T14:22:01.302125+00:00,MICRO,BUY,12.06333,30.0,149.3,60.0,59.81,2.5,2.0
2026-08-24T14:43:10.270731+00:00,MICRO,SELL,7.96,30.0,98.52,60.0,39.1,2.5,2.0
2026-08-24T14:49:13.777525+00:00,MICRO,SELL,7.61556,30.0,96.67,60.0,37.93,2.5,2.0
2026-08-24T14:52:14.421015+00:00,MICRO,SELL,8.09556,30.0,100.19,60.0,40.11,2.5,2.0
2026-08-24T15:11:21.771478+00:00,MICRO,SELL,7.34889,30.0,93.28,60.0,35.68,2.5,2.0
2026-08-24T15:18:26.022885+00:00,MICRO,SELL,7.18444,30.0,91.19,60.0,34.2,2.5,2.0
2026-08-24T15:27:30.822736+00:00,MICRO,BUY,7.06556,30.0,89.68,60.0,33.1,2.5,2.0
2026-08-24T15:28:31.380839+00:00,MICRO,BUY,7.07222,30.0,89.77,60.0,33.16,2.5,2.0
2026-08-24T15:29:32.048362+00:00,MICRO,BUY,7.54444,30.0,95.76,60.0,37.34,2.5,2.0
2026-08-24T15:40:38.109547+00:00,MICRO,SELL,6.46778,30.0,82.1,60.0,26.92,2.5,2.0
2026-08-24T15:42:38.613525+00:00,MICRO,SELL,6.76778,30.0,85.9,60.0,30.15,2.5,2.0
2026-08-24T15:43:39.134638+00:00,MICRO,SELL,6.97667,30.0,86.35,60.0,30.52,2.5,2.0
2026-08-24T15:44:39.664196+00:00,MICRO,SELL,7.02111,30.0,86.9,60.0,30.96,2.5,2.0
2026-08-24T15:45:40.415585+00:00,MICRO,SELL,6.13,30.0,75.87,60.0,20.92,2.5,2.0
2026-08-24T15:48:41.950265+00:00,MICRO,SELL,7.16556,30.0,88.68,60.0,32.34,2.5,2.0
2026-08-24T15:49:42.458803+00:00,MICRO,SELL,7.73778,30.0,95.77,60.0,37.35,2.5,2.0
2026-08-24T15:56:46.396834+00:00,MICRO,SELL,8.82444,30.0,109.22,60.0,45.07,2.5,2.0
2026-08-24T15:57:46.924192+00:00,MICRO,SELL,8.82444,30.0,109.22,60.0,45.07,2.5,2.0
2026-08-24T16:02:49.873994+00:00,MICRO,BUY,10.17,30.0,125.87,60.0,52.33,2.5,2.0
2026-08-24T16:03:50.518284+00:00,MICRO,BUY,10.29556,30.0,127.42,60.0,52.91,2.5,2.0
2026-08-24T16:04:51.098374+00:00,MICRO,BUY,10.58333,30.0,130.98,60.0,54.19,2.5,2.0
2026-08-24T16:47:00.373301+00:00,MICRO,SELL,3.93222,23.08,48.87,46.16,5.55,2.5,2.0
2026-08-24T16:48:00.875863+00:00,MICRO,SELL,4.10111,24.07,50.97,48.14,5.55,2.5,2.0
2026-08-24T16:49:01.393345+00:00,MICRO,SELL,4.14444,24.32,51.51,48.64,5.57,2.5,2.0
