date,ticket,signal,lot,profit,result,strategy,session,market_regime,exec_grade,rr_ratio,quality_score,brain_score,build_id
2026-07-27T01:14:31.278384+00:00,,,0,-71.61,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:32.105872+00:00,,,0,93.59,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:32.970015+00:00,,,0,2.5,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:33.736878+00:00,,,0,40.68,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:34.409003+00:00,,,0,14.68,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:35.060949+00:00,,,0,34.29,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:35.742774+00:00,,,0,-6.06,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:36.525213+00:00,,,0,10.32,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:37.628234+00:00,,,0,-60.0,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:38.642440+00:00,,,0,33.53,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:39.522019+00:00,,,0,-70.29,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:40.453022+00:00,,,0,-79.2,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:41.370172+00:00,,,0,38.61,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:42.306688+00:00,,,0,14.8,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:43.224050+00:00,,,0,4.2,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:44.082115+00:00,,,0,38.34,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:45.018720+00:00,,,0,14.9,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:46.105052+00:00,,,0,19.06,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:47.257749+00:00,,,0,29.22,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:48.132063+00:00,,,0,-68.74,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:49.061357+00:00,,,0,-99.3,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:50.035200+00:00,,,0,26.0,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:50.882454+00:00,,,0,-69.37,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:51.764547+00:00,,,0,8.7,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:52.606342+00:00,,,0,37.7,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:53.479783+00:00,,,0,45.84,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:54.417647+00:00,,,0,8.3,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:55.304826+00:00,,,0,21.95,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:56.244269+00:00,,,0,-80.48,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:14:57.082327+00:00,,,0,22.19,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:58.000375+00:00,,,0,37.1,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:58.672832+00:00,,,0,24.8,WIN,,ASIA,,,0,0,0,
2026-07-27T01:14:59.336709+00:00,,,0,37.62,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:00.082373+00:00,,,0,-110.0,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:01.057344+00:00,,,0,78.7,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:01.880068+00:00,,,0,-58.3,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:02.680234+00:00,,,0,9.84,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:03.379588+00:00,,,0,-89.91,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:04.271102+00:00,,,0,-74.07,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:04.977859+00:00,,,0,-91.7,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:05.648961+00:00,,,0,31.54,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:06.263114+00:00,,,0,22.9,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:07.048506+00:00,,,0,40.4,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:07.636992+00:00,,,0,-95.4,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:08.275341+00:00,,,0,-102.5,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:08.954749+00:00,,,0,25.64,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:09.611933+00:00,,,0,-111.1,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:10.230590+00:00,,,0,-40.88,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:10.883191+00:00,,,0,-9.1,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:11.965996+00:00,,,0,3.2,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:13.238731+00:00,,,0,-69.86,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:14.545273+00:00,,,0,20.59,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:16.287258+00:00,,,0,-10.0,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:17.545305+00:00,,,0,-10.0,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:18.450159+00:00,,,0,-46.68,LOSS,,ASIA,,,0,0,0,
2026-07-27T01:15:19.403684+00:00,,,0,43.18,WIN,,ASIA,,,0,0,0,
2026-07-27T01:15:20.478514+00:00,,,0,1.5,WIN,,ASIA,,,0,0,0,
