ticket,strategy,symbol,type,volume,profit,open_price,close_price,open_time,close_time,comment,raw_magic,canonical_magic,build_id
57330941329,MICRO,XAUUSD,BUY,0.02,-20.02,4096.07,4096.07,2026-07-27T09:11:39+00:00,2026-07-27T09:11:39+00:00,[sl 4096.07],5001,5001,FER3ON-FINAL-build1
57330947632,SMC,XAUUSD,BUY,0.01,-10.0,4096.28,4096.28,2026-07-27T09:12:03+00:00,2026-07-27T09:12:03+00:00,[sl 4096.28],4001,4001,FER3ON-FINAL-build1
57331943598,SMC,XAUUSD,BUY,0.02,-20.0,4104.16,4104.16,2026-07-27T10:19:37+00:00,2026-07-27T10:19:37+00:00,[sl 4104.16],4001,4001,FER3ON-FINAL-build1
57334699566,MICRO,XAUUSD,BUY,0.02,10.66,4093.43,4093.43,2026-07-27T13:22:04+00:00,2026-07-27T13:22:04+00:00,[sl 4093.43],5001,5001,FER3ON-FINAL-build1
57334846547,SMC,XAUUSD,BUY,0.01,2.95,4095.81,4095.81,2026-07-27T13:32:33+00:00,2026-07-27T13:32:33+00:00,[sl 4095.81],4001,4001,FER3ON-FINAL-build1
57340220797,SMC,XAUUSD,BUY,0.01,10.34,4073.08,4073.08,2026-07-27T17:47:02+00:00,2026-07-27T17:47:02+00:00,[sl 4073.08],4001,4001,FER3ON-FINAL-build1
57340779135,SMC,XAUUSD,BUY,0.02,-12.72,4078.68,4078.68,2026-07-27T18:16:22+00:00,2026-07-27T18:16:22+00:00,[sl 4078.68],4001,4001,FER3ON-FINAL-build1
57341954952,SMC,XAUUSD,BUY,0.03,-30.21,4085.94,4085.94,2026-07-27T19:25:12+00:00,2026-07-27T19:25:12+00:00,[sl 4085.94],4001,4001,FER3ON-FINAL-build1
57343559118,SMC,XAUUSD,BUY,0.01,6.01,4078.3,4078.3,2026-07-27T21:03:31+00:00,2026-07-27T21:03:31+00:00,[sl 4078.30],4001,4001,FER3ON-FINAL-build1
57345029443,SMC,XAUUSD,BUY,0.01,-16.29,4094.44,4094.44,2026-07-28T01:00:02+00:00,2026-07-28T01:00:02+00:00,[sl 4094.44],4001,4001,FER3ON-FINAL-build1
57346120160,SMC,XAUUSD,BUY,0.01,5.56,4057.8,4057.8,2026-07-28T04:02:13+00:00,2026-07-28T04:02:13+00:00,[sl 4057.80],4001,4001,FER3ON-FINAL-build1
