date,ticket,signal,lot,profit,result,strategy,session,market_regime,exec_grade,rr_ratio,quality_score,brain_score,build_id
2026-07-27T01:17:38.875421+00:00,57681697304,SELL,0.02,0.0,OPEN,SMC,ASIA,TRENDING,B,2.2,82.0,53.02,FER3ON-FINAL-build1
2026-07-27T01:18:43.280393+00:00,57681711064,SELL,0.02,0.0,OPEN,MICRO,ASIA,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-27T03:28:59.572914+00:00,57683073948,SELL,0.01,-10.0,LOSS,SMC,ASIA,TRENDING,B,2.0,50.0,53.02,FER3ON-FINAL-build1
2026-07-27T03:29:01.204289+00:00,57683074295,SELL,0.02,-20.02,LOSS,MICRO,ASIA,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-27T06:13:27.980364+00:00,57684941983,SELL,0.02,-20.0,LOSS,SMC,ASIA,TRENDING,B,2.2,82.0,53.02,FER3ON-FINAL-build1
2026-07-27T07:39:12.088889+00:00,57686271309,SELL,0.01,2.95,WIN,SMC,ASIA,TRENDING,B,2.0,50.0,53.02,FER3ON-FINAL-build1
2026-07-27T07:39:12.831947+00:00,57686271529,SELL,0.02,10.66,WIN,MICRO,ASIA,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-27T10:32:35.655032+00:00,57688960219,SELL,0.01,0.0,OPEN,SMC,LONDON,RANGING,B,2.2,82.0,35.82,FER3ON-FINAL-build1
2026-07-27T12:20:20.785885+00:00,57690875179,SELL,0.02,10.34,WIN,SMC,LONDON,RANGING,B,2.2,82.0,35.82,FER3ON-FINAL-build1
2026-07-27T12:22:22.472820+00:00,57690932168,SELL,0.02,0.0,OPEN,MICRO,LONDON,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-27T14:48:03.073923+00:00,57694489491,SELL,0.02,-12.72,LOSS,SMC,NEWYORK,RANGING,B,2.07,57.0,43.53,FER3ON-FINAL-build1
2026-07-27T15:24:15.927966+00:00,57695188886,SELL,0.03,-30.21,LOSS,SMC,NEWYORK,RANGING,A,2.2,82.0,42.75,FER3ON-FINAL-build1
2026-07-27T16:49:52.875931+00:00,57696812671,SELL,0.02,6.01,WIN,SMC,NEWYORK,RANGING,B,1.98,50.0,42.11,FER3ON-FINAL-build1
2026-07-27T16:49:53.462498+00:00,57696812787,SELL,0.02,0.0,OPEN,MICRO,NEWYORK,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-27T18:04:25.690190+00:00,57697917129,SELL,0.01,-16.29,LOSS,SMC,OFF_HOURS,RANGING,B,2.2,82.0,45.29,FER3ON-FINAL-build1
2026-07-27T22:00:07.384738+00:00,57699468689,SELL,0.01,0.0,OPEN,SMC,OFF_HOURS,RANGING,REJECT,0,50.0,43.27,FER3ON-FINAL-build1
2026-07-28T00:05:56.541818+00:00,57700103248,SELL,0.01,5.56,WIN,SMC,ASIA,RANGING,C,2.08,57.0,47.39,FER3ON-FINAL-build1
2026-07-28T00:05:57.099391+00:00,57700103460,SELL,0.02,0.0,OPEN,MICRO,ASIA,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-28T01:02:22.714113+00:00,57700635150,SELL,0.02,7.62,WIN,SMC,ASIA,TRENDING,B,2.14,57.0,46.58,FER3ON-FINAL-build1
2026-07-28T02:21:01.490238+00:00,57701482608,SELL,0.02,0.0,OPEN,SMC,ASIA,TRENDING,B,2.18,62.0,46.02,FER3ON-FINAL-build1
2026-07-28T02:25:04.181197+00:00,57701514528,SELL,0.02,7.3,WIN,SMC,ASIA,TRENDING,B,2.18,62.0,46.02,FER3ON-FINAL-build1
2026-07-28T03:05:22.631402+00:00,57701882674,SELL,0.01,-10.02,LOSS,SMC,ASIA,TRENDING,B,2.14,57.0,46.02,FER3ON-FINAL-build1
2026-07-28T10:00:30.939649+00:00,57707914187,SELL,0.03,-30.0,LOSS,SMC,LONDON,TRENDING,B,2.19,57.0,53.51,FER3ON-FINAL-build1
2026-07-28T11:19:04.986797+00:00,57709343927,SELL,0.02,7.87,WIN,SMC,LONDON,TRENDING,C,2.18,57.0,53.51,FER3ON-FINAL-build1
2026-07-28T14:35:21.351768+00:00,57713408673,SELL,0.02,-20.2,LOSS,SMC,NEWYORK,TRENDING,B,2.18,57.0,51.6,FER3ON-FINAL-build1
2026-07-28T14:54:30.972215+00:00,57713792937,SELL,0.01,-10.08,LOSS,SMC,NEWYORK,TRENDING,B,2.2,62.0,49.85,FER3ON-FINAL-build1
2026-07-28T15:32:45.004164+00:00,57714712182,SELL,0.02,-20.14,LOSS,SMC,NEWYORK,TRENDING,B,2.2,57.0,48.1,FER3ON-FINAL-build1
2026-07-28T15:32:45.966789+00:00,57714712663,SELL,0.02,-19.86,LOSS,MICRO,NEWYORK,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-28T16:15:07.192694+00:00,57715594139,SELL,0.01,0.0,OPEN,SMC,NEWYORK,RANGING,B,2.17,57.0,48.0,FER3ON-FINAL-build1
2026-07-28T17:35:43.857216+00:00,57716811351,SELL,0.01,0.0,OPEN,SMC,NEWYORK,RANGING,B,2.03,50.0,46.25,FER3ON-FINAL-build1
2026-07-28T17:36:45.620831+00:00,57716832277,SELL,0.02,0.0,OPEN,MICRO,NEWYORK,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-28T18:35:06.707772+00:00,57717611662,SELL,0.01,0.0,OPEN,SMC,OFF_HOURS,TRENDING,B,2.1,57.0,46.84,FER3ON-FINAL-build1
2026-07-28T22:22:46.331605+00:00,57718773324,SELL,0.01,0.0,OPEN,SMC,OFF_HOURS,TRENDING,B,2.15,57.0,46.84,FER3ON-FINAL-build1
2026-07-28T22:23:48.471409+00:00,57718783300,SELL,0.01,0.0,OPEN,MICRO,OFF_HOURS,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T00:28:40.641522+00:00,57764291554,SELL,0.02,0.0,OPEN,MICRO,ASIA,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T01:34:18.411691+00:00,57764975475,SELL,0.02,0.0,OPEN,MICRO,ASIA,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T02:43:46.568607+00:00,57765658338,SELL,0.02,-15.24,LOSS,MICRO,ASIA,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T06:16:32.927755+00:00,57767943161,BUY,0.06,-60.12,LOSS,SMC,ASIA,RANGING,REJECT,0,57.0,47.97,FER3ON-FINAL-build1
2026-07-31T07:42:15.078451+00:00,57769108796,BUY,0.02,-20.0,LOSS,MICRO,ASIA,RANGING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T10:00:25.047311+00:00,57771472437,SELL,0.02,0.0,OPEN,MICRO,LONDON,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T15:52:16.376471+00:00,57778797743,BUY,0.01,0.0,OPEN,MICRO,NEWYORK,TRENDING,B,1.57,2.0,2.0,FER3ON-FINAL-build1
2026-07-31T16:50:45.566087+00:00,57779739545,BUY,0.11,0.0,OPEN,SMC,NEWYORK,TRENDING,REJECT,0,90.0,48.1,FER3ON-FINAL-build1
2026-07-31T17:51:15.833737+00:00,57780714462,BUY,0.11,0.0,OPEN,SMC,NEWYORK,TRENDING,REJECT,0,82.0,48.1,FER3ON-FINAL-build1
2026-08-05T08:45:49+00:00,57828005625,SELL,0.01,32.31,WIN,SMC,LONDON,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T08:46:51+00:00,57828980947,SELL,0.02,44.6,WIN,MICRO,LONDON,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T08:52:33+00:00,57829473045,SELL,0.02,21.18,WIN,MANUAL,LONDON,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T08:53:05+00:00,57829509995,SELL,0.02,9.64,WIN,MANUAL,LONDON,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T13:03:40+00:00,57829726351,SELL,0.02,-33.68,LOSS,SMC,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T13:57:44+00:00,57833971883,SELL,0.03,18.36,WIN,MANUAL,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T14:23:13+00:00,57834761716,SELL,0.03,24.27,WIN,MANUAL,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T15:07:17+00:00,57831655885,SELL,0.02,62.88,WIN,MICRO,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T15:17:22+00:00,57835263315,SELL,0.01,65.1,WIN,SMC,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T15:49:42+00:00,57837550746,SELL,0.03,-16.56,LOSS,MANUAL,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T17:20:25+00:00,57838783228,SELL,0.02,77.5,WIN,MICRO,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T17:20:26+00:00,57839122062,SELL,0.01,37.17,WIN,SMC,NEWYORK,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T18:18:07+00:00,57840675445,SELL,0.01,15.78,WIN,SMC,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T18:23:14+00:00,57842591532,SELL,0.02,0.4,WIN,MANUAL,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T18:50:25+00:00,57842511763,SELL,0.01,-6.16,LOSS,MANUAL,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T18:52:08+00:00,57843284042,SELL,0.01,-3.27,LOSS,MANUAL,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T19:06:07+00:00,57843310133,BUY,0.02,24.46,WIN,MICRO,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T19:11:35+00:00,57843748562,SELL,0.01,-0.28,LOSS,MANUAL,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T19:46:06+00:00,57843922111,SELL,0.01,10.71,WIN,SMC,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-05T21:33:17+00:00,57844541451,SELL,0.01,16.39,WIN,SMC,OFF_HOURS,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-06T02:36:42+00:00,57847148918,SELL,0.02,42.0,WIN,MICRO,ASIA,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-06T02:45:27+00:00,57846281220,SELL,0.01,17.57,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-06T03:28:27+00:00,57848435651,SELL,0.02,1.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
2026-08-06T08:30:02+00:00,57851013120,SELL,0.02,-60.12,LOSS,MICRO,LONDON,UNKNOWN,SYNC,0,0,0,FER3ON-FINAL-build1
