date,ticket,signal,lot,profit,result,strategy,session,market_regime,exec_grade,rr_ratio,quality_score,brain_score
2026-06-18T03:05:34+00:00,8781010731,BUY,0.1,-4.8,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:06:03+00:00,8781020670,BUY,0.1,12.3,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:06:24+00:00,8781026571,BUY,0.1,-4.3,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:06:50+00:00,8781041261,BUY,0.1,-5.1,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:07:17+00:00,8781051791,BUY,0.1,10.2,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:07:50+00:00,8781059495,BUY,0.1,-4.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:08:09+00:00,8781063598,BUY,0.1,10.1,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:08:39+00:00,8781069663,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:09:16+00:00,8781077565,BUY,0.1,-5.4,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:09:26+00:00,8781079689,BUY,0.1,-5.4,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:09:55+00:00,8781084547,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:10:15+00:00,8781088434,BUY,0.1,-4.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:10:53+00:00,8781094719,BUY,0.1,-5.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:11:08+00:00,8781097653,BUY,0.1,-4.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:11:37+00:00,8781103933,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:12:17+00:00,8781110804,BUY,0.1,10.1,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:12:24+00:00,8781112136,BUY,0.1,-5.1,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:13:00+00:00,8781121835,BUY,0.1,10.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:13:16+00:00,8781125223,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:13:43+00:00,8781132183,BUY,0.1,-5.8,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:14:23+00:00,8781142930,BUY,0.1,10.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:14:38+00:00,8781146595,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:15:00+00:00,8781150184,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:15:25+00:00,8781156152,BUY,0.1,-4.7,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:15:55+00:00,8781162430,BUY,0.1,11.3,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:16:21+00:00,8781167621,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:16:54+00:00,8781176744,BUY,0.1,9.7,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:17:15+00:00,8781181292,BUY,0.1,-5.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:18:00+00:00,8781187341,BUY,0.1,-4.8,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:18:07+00:00,8781188322,BUY,0.1,-1.7,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:30:46+00:00,8781334163,BUY,0.15,-7.35,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:35:26+00:00,8781397297,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:36:15+00:00,8781407662,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:36:42+00:00,8781412521,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:37:26+00:00,8781420001,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:38:00+00:00,8781425244,BUY,0.15,-7.8,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:38:25+00:00,8781430090,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:39:50+00:00,8781444612,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:40:10+00:00,8781448272,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:41:05+00:00,8781458237,BUY,0.15,15.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:41:54+00:00,8781464630,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:42:18+00:00,8781467883,BUY,0.15,-6.3,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:42:56+00:00,8781474115,BUY,0.15,15.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:43:11+00:00,8781476316,BUY,0.15,-7.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:44:02+00:00,8781483066,BUY,0.15,-7.8,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:44:41+00:00,8781490306,BUY,0.15,-8.25,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:45:38+00:00,8781503625,BUY,0.15,15.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:45:44+00:00,8781504691,BUY,0.15,-6.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:46:19+00:00,8781510778,BUY,0.15,15.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:47:03+00:00,8781516074,BUY,0.15,-7.35,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T03:47:28+00:00,8781519434,BUY,0.15,-7.35,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:24:41+00:00,8782018303,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:25:02+00:00,8782021664,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:25:15+00:00,8782025109,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:25:23+00:00,8782027044,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:25:43+00:00,8782030851,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:25:54+00:00,8782032846,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:26:08+00:00,8782035125,BUY,0.1,-2.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:26:24+00:00,8782037703,BUY,0.1,-2.7,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:26:49+00:00,8782040580,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:27:00+00:00,8782042120,BUY,0.1,-3.2,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:27:27+00:00,8782046910,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:27:27+00:00,8782046911,BUY,0.1,-3.1,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:28:02+00:00,8782052042,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:28:09+00:00,8782053202,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:28:32+00:00,8782056461,BUY,0.1,-2.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:28:57+00:00,8782059367,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:29:11+00:00,8782060694,BUY,0.1,-2.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:29:34+00:00,8782063035,BUY,0.1,-3.5,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:29:53+00:00,8782065142,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:30:10+00:00,8782067946,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:30:14+00:00,8782068627,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:30:31+00:00,8782071713,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:30:44+00:00,8782073880,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:31:04+00:00,8782077003,BUY,0.1,-2.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:31:15+00:00,8782078590,BUY,0.1,-3.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:31:31+00:00,8782081618,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:31:48+00:00,8782083573,BUY,0.1,-3.7,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:32:07+00:00,8782086203,BUY,0.1,-2.8,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:32:30+00:00,8782090551,BUY,0.1,-2.9,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T04:32:42+00:00,8782092221,BUY,0.1,6.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-18T05:00:35+00:00,8782388610,BUY,0.2,-6.0,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
